Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
2.85472,0.022546419,0.27593819,0.097972973,0.363957597,0.069735007,0.278625954,0.137518685,0.221757322
2.87442,0.021220159,0.258278146,0.097972973,0.286219081,0.055090656,0.290076336,0.136023916,0.184100418
2.89413,0.019893899,0.269315673,0.140765766,0.300353357,0.051603905,0.309160305,0.098654709,0.207112971
2.91384,0.00795756,0.216335541,0.111486486,0.261484099,0.050209205,0.297709924,0.122571001,0.219665272
2.93354,0.015915119,0.264900662,0.101351351,0.296819788,0.045327755,0.393129771,0.127055306,0.205020921
2.95325,0.015915119,0.253863135,0.112612613,0.32155477,0.052301255,0.278625954,0.116591928,0.188284519
2.97296,0.017241379,0.27593819,0.108108108,0.307420495,0.057182706,0.312977099,0.139013453,0.209205021
2.99266,0.027851459,0.214128035,0.120495495,0.310954064,0.069037657,0.221374046,0.155455904,0.177824268
3.01237,0.025198939,0.273730684,0.10472973,0.332155477,0.057182706,0.290076336,0.122571001,0.209205021
3.03208,0.015915119,0.249448124,0.115990991,0.272084806,0.055090656,0.29389313,0.121076233,0.190376569
3.05178,0.019893899,0.25607064,0.122747748,0.296819788,0.051603905,0.278625954,0.127055306,0.19874477
3.07149,0.017241379,0.236203091,0.117117117,0.25795053,0.052998605,0.297709924,0.131539611,0.20292887
3.09119,0.015915119,0.311258278,0.112612613,0.300353357,0.054393305,0.320610687,0.158445441,0.20292887
3.1109,0.023872679,0.282560706,0.10472973,0.300353357,0.044630404,0.305343511,0.144992526,0.223849372
3.13061,0.015915119,0.267108168,0.111486486,0.310954064,0.061366806,0.297709924,0.113602392,0.215481172
3.15031,0.018567639,0.260485651,0.108108108,0.268551237,0.055090656,0.229007634,0.146487294,0.223849372
3.17002,0.015915119,0.300220751,0.103603604,0.268551237,0.071129707,0.297709924,0.119581465,0.213389121
3.18973,0.022546419,0.29580574,0.096846847,0.275618375,0.056485356,0.339694656,0.119581465,0.179916318
3.20943,0.015915119,0.306843267,0.114864865,0.303886926,0.059972106,0.255725191,0.119581465,0.207112971
3.22914,0.013262599,0.242825607,0.100225225,0.25795053,0.058577406,0.297709924,0.14200299,0.215481172
3.24885,0.01193634,0.273730684,0.092342342,0.275618375,0.063458856,0.297709924,0.119581465,0.190376569
3.26855,0.023872679,0.242825607,0.101351351,0.265017668,0.054393305,0.297709924,0.118086697,0.205020921
3.28826,0.022546419,0.300220751,0.108108108,0.35335689,0.052301255,0.263358779,0.11509716,0.232217573
3.30797,0.013262599,0.247240618,0.097972973,0.243816254,0.052301255,0.328244275,0.130044843,0.194560669
3.32767,0.013262599,0.286975717,0.129504505,0.325088339,0.045327755,0.324427481,0.121076233,0.190376569
3.34738,0.021220159,0.309050773,0.111486486,0.268551237,0.053695955,0.259541985,0.128550075,0.156903766
3.36709,0.029177719,0.302428256,0.095720721,0.254416961,0.058577406,0.278625954,0.122571001,0.188284519
3.38679,0.023872679,0.317880795,0.105855856,0.28975265,0.050209205,0.301526718,0.147982063,0.213389121
3.4065,0.022546419,0.25607064,0.086711712,0.240282686,0.059972106,0.259541985,0.13303438,0.192468619
3.42621,0.023872679,0.282560706,0.11036036,0.332155477,0.057182706,0.328244275,0.130044843,0.186192469
